ITEM_NUMBER,DESCRIPTION
519888,BUGLER CIGARETTE PAPERS
830185,BUGLER FISH BOWL PAPERS
4644,GAMBLER CIG TUBES #GRT20
597343,JOB ORNGE 1-1/4 PPR 100CT
865208,"JOB PAPERS 1.5""/24CT GOLD"
2008447,OCB BAMBOO CONES 1 1/4
2008448,OCB BAMBOO CONES MINI
1183013,OCB ORG.HEMP UNBLCH OOH12
3162303,RAW CLASSIC 1 1/4 CONES
1344303,RAW CLASSIC 1 1/4 PAPERS
1344301,RAW CLASSIC 3PK CONES
1344302,RAW CLASSIC KING SLIM
786555,TOP CIG INJECTOR MACHINE
2210,TOP CIG ROLLING MACHINE
838802,TOP CIGARETTE PAPER 24PK
32247,TOP FILTER TUBES #TFT25
1342314,TOP FILTER TUBES TRC25
641606,TOP FLTR TBES 100CT TOPFT
3477,TOPOMATIC CIG MAKER TMACH
31464,ZIG ZAG KUTCORNERS PAPERS
1336079,ZIG ZAG ORGANIC HEMP 1.25
290608,ZIG ZAG ULTRA THIN PAPER
1351064,ZIG-ZAG 1.25 PAPER CONES
31450,ZIG-ZAG WHITE DOMESTIC
31454,ZZ FRENCH ORANGE 25/24
207121,ZZ KING SIZE FRENCH 1-1/4
1556495,BIC 4 TIER EZ RCH DISPLAY
1978706,BIC ATL FALCONS 50CT TRAY
1978707,BIC CHI BEARS 50CT TRAY
1978709,BIC DAL COWBOYS 50CT TRAY
1978710,BIC DEN BRONCOS 50CT TRAY
1976201,BIC EZ REACH 20 CT
1978715,BIC HOU TEXANS 50CT TRAY
1978708,BIC KC CHIEFS 50CT TRAY
2008454,BIC LA LAKERS 50CT TRAY
1556496,BIC MAXI 50+2 EZ LIGHTERS
1661777,BIC MAXI 100+4EZ REACH
1978714,BIC MIN VIKINGS 50CT TRAY
1661778,BIC MINI 100+10 TRAY
60267,BIC MINI LIGHTERS 50CT
1978712,BIC SEA SEAHAWKS 50CT TRY
1978716,BIC SF 49ERS 50CT TRAY
1915265,BIC TATTOOS 50 CT TRAY
1868243,BIC VACATIONS 50 CT TRAY
904756,BOOK MATCHES 20/50 CT
444633,CALICO SCOTTY LIGHTER
1903450,DIAMOND LONG REACH 3CT
869870,KINGSFORD UTILITY 5PK
883170,SCRIPTO 4PK UTILITY LGHTR
1912498,ZIPPO 6CT BRASS
1912497,ZIPPO 6CT CHROME
707745,3 MUSKETEERS 36CT/1.92OZ
485544,3 MUSKETEERS SHRE 24/3.3Z
618850,DOVE DARK CHOC 18/1.44OZ
618763,DOVE MILK SINGLES 18/1.4Z
1943373,FERRERO VARIETY PACK 30CT
41675,M+M MINI TUBES 24CT/1.08Z
1231,M+M PLAIN 48CT / 1.69OZ
4431,M+M PLAIN KING 24CT/3.14Z
1232,M+M PNUT 48CT / 1.74OZ
95956,M+M PNUT BUTTER 24/1.63OZ
468065,M+M PNUT BUTTER 24/2.83OZ
4432,M+M PNUT SHARE 24/3.27OZ
624493,M+M'S ALMOND KING 18CT
721083,MARS ORANGE VAR BOX MM/SK
705876,MARS YELLOW VAR BOX CHOC
707750,MILKY WAY 36CT/1.84OZ
1104,MILKY WAY DARK 24CT/1.76Z
4401,MILKY WAY SHARE
1160,SKITTLES ORIG 36CT/2.17OZ
967497,SKITTLS/STRBURST VTY 30CT
707667,SNICKERS 48CT/1.86 OZ
376610,SNICKERS SHARE 24/3.29OZ
1105,SNICKERS W/ALMONDS 24 CT
482832,TWIX CARAMEL 36CT/1.79 OZ
497796,TWIX CARAMEL SHARE 24/3OZ
1920559,ALMOND JOY 24CT / 1.61 OZ
28248,ALMOND JOY KING 18/3.22OZ
24100,HERSHEY ALMOND 36CT/1.45Z
320888,HERSHEY ASST BAR 30 COUNT
105508,HERSHEY COOKIES N CRM 36C
22100,HERSHEY KING ALMD 18/2.6Z
22000,HERSHEY KING MILK 18/2.6Z
24000,HERSHEY MILK 36CT/1.55OZ
302492,HRSHY CKYNCREME KG18/2.6Z
24600,KIT KAT BAR 36CT/1.5OZ
1409842,KIT KAT BIG KAT 24/1.5OZ
1720637,KIT KAT BIGKAT KNG 16C/3Z
22600,KIT KAT KING 24CT / 3OZ
911590,NUTRAGEOUS KING 18CT/3.1Z
11343,PAYDAY BAR 24CT / 1.85OZ
1964005,REESE OREO CUP 24CT/1.4OZ
264196,REESES BIG CUP BAR 16CT
1148245,REESES BIGCUP PCS 16/2.8Z
876517,REESES FASTBRK KNG 18/3.5
1964850,REESES KING OREO PBC 24CT
48000,REESES KING PBC 24CT/2.8Z
44000,REESES PNTBTR CUP 36/1.5Z
202003,REESES STICKS KING 24/3OZ
24400,ROLO 36CT/1.7OZ
680743,SKOR 18CT / 1.4 OZ
894345,WHATCHAMACALIT KNG 18/2.6
998417,AH XTR SR RNBO BRRY 18/2Z
906793,AIRHEADS BITES 24/CT
594224,AMKI SESAME THINS 36CT
466662,BABY BOTTLE POP 18 CT
2029803,BTRFGR FRNCH TOST 18/3.7Z
845438,BUTTERFINGER 36CT/1.9 OZ
819456,BUTTERFINGER KING 18/3.7Z
13179,CRUNCH BAR 36CT 1.55Z 44G
1965976,FERRARA VARIETY PACK 30CT
41457,FERRERO ROCHER 12/3 T-3
1471759,HARIBO 2OZ BAGS 24CT/2OZ
1757623,HI CHEW BITES 12/2.12OZ
1335339,HI CHEW VRTY 15/1.76 OZ
459965,JUMBO JUMPIN PP 18CT
1394792,KNDR BUENO CHC BR 20-1.5Z
633492,LIFESAVERS GUMMIES 15/4OZ
723691,LIFESVRS GUMMIES COL 15CT
1433039,MAMBA FRUIT CHEWS 24/2.8Z
2025890,MR. BEAST PB CUP - KING
2026478,MR.BEAST MILK CHOCO KING
1721018,NERDS GUMMY CLUSTER
2721018,NERDS GUMMY VERY BERRY
2023728,NERDS JUICY CLUSTERS STRW
1694269,NUTELLA B-READY 36-0.7Z
